query,title,sentence
大学,東北大学,ルポーには長年続く名物メニュー、ミルクコーラがある。
文学,文学,詳細はそれぞれの項目を参照。
文学,文学,それに反して、偽ロンギヌス(en)は『崇高論』において、感情の表現を前面に押し出した。
文学,文学,作品の文学性の基準は学者の間の数々の論争の的となってきた。
文学,文学,詩、小説、戯曲、脚本、随筆、評論などが含まれる（詳細は#形式の分類を参照）。
文学,文学,文学作品を研究・分析・批評することを文芸評論（文芸批評）という。
文学,日本文学,中国の古典語である漢文も、日本人によって創作されている場合、日本文学に含まれる。
文学,日本文学,近現代文学 - 日本近代文学会。
文学,日本文学,近代日本文学は中国・朝鮮の近代文学の形成に大きな影響を与えた。
文学,日本文学,また、歌舞伎や浄瑠璃が興り、近松門左衛門などが人気を博した。
文学,日本文学,西欧近代小説の理念が輸入され、現代的な日本語の書き言葉が生み出された。
文学,フランス文学,作品名などの後にあるリンク[1]はウィキソースなどの原典資料。
文学,フランス文学,詳細はそれぞれの記事および一覧記事を参照。
文学,フランス文学,16世紀はフランス・ルネサンスの世紀であり、ユマニスムの原則が文学に深く痕跡を残すようになる。
文学,フランス文学,カタルーニャ語やバスク語の文学もフランス国外の読者の存在によって支えられている。
文学,フランス文学,メディシス賞 - 1958年創設。
文学,文芸評論,同じ文学用語が違った定義で使われることもしばしばある。
文学,文芸評論,また、歴史学・言語学など、人文科学や社会科学を中心に他の学問領域と接点を持つ。
文学,文芸評論,研究対象には異本が存在することも多いため、底本を選ぶ作業が重要になる。
文学,文芸評論,文芸批評、または文学研究とも言うが、評論の対象や手法が多様なため、定義は曖昧である。
文学,文芸評論,テクストの語源はラテン語の「織る」から。
文学,アメリカ文学,この主題を一歩進め、自分勝手にならずに幅広いアメリカ人の体験を自身のものと同一視している。
文学,アメリカ文学,ホイットマンはまた自分で「電気の身体」と呼んだように肉体の詩人でもあった。
文学,アメリカ文学,世界恐慌時代の文学はその社会批判において無遠慮で直接的だった。
文学,アメリカ文学,おそらく当時の最も社会的に目覚めた作家だった。
文学,アメリカ文学,ブライアントはロマンチックで自然に触発された初期の詩人であり、ヨーロッパの影響から離れた。
文学,文学座,舞台初演から上演を重ねてきた杉村春子の代表作となった。
文学,文学座,2013年：「文学座アトリエの会」が、第20回読売演劇大賞芸術栄誉賞受賞。
文学,文学座,三雲孝江 - 合格したが、アナウンサーになる道を選んだ。
文学,文学座,1977年：第11回紀伊國屋演劇賞団体賞受賞。
文学,文学座,1951年4月：舞台技術研究室開設。
文学,ドイツ文学,この時代に人気のあったジャンルとして民衆本がある。
文学,ドイツ文学,その他に、この時代の抒情詩の形式として重要なのはソネット・頌歌・エピグラムなどがある。
文学,ドイツ文学,アヴァンギャルドは新式の、理論先導的な文学であり、市民文学への対抗の身振りをもって出現した。
文学,ドイツ文学,象徴主義は、およそ時を同じくする自然主義とは全く違った綱領に従っている。
文学,ドイツ文学,1970年代には西ドイツと同じく新主観主義と呼ばれるような作家も登場した。
文学,日本文学研究者,日本文学研究者（にほんぶんがくけんきゅうしゃ）は、日本文学を専攻する研究者のこと。
文学,日本文学研究者,「日本文学者」、「国文学者」とも呼ばれる。
文学,日本文学研究者,国語学者および国学者も併せて参照のこと。
文学,英文学,イギリス文学のこと。
文学,英文学,ブッカー賞を受賞した作家の多くは、もはやイギリス人ではない。
文学,英文学,広義には、地域を問わず英語で書かれた文学すべてを意味する。
文学,英文学,イギリス文学とアメリカ文学の総称。
文学,英文学,実用英語はあくまでも､それらを､より深く理解するための一手段として位置付けられている。
情報,情報,記録管理は記録の完全性を保証し、それらを必要なだけ長期間に渡って保持することを目的とする。
情報,情報,語用論が注目するのは、コミュニケーションを行おうとする者の意図である。
情報,情報,法律においては、おおむね電子計算機上の「データ」と同義で用いられる。
情報,情報,環境中で個体が活動するという生態学的事実を、情報概念によって捉える向きもある。
情報,情報,Shu-Kun Lin は新たに情報を「データ圧縮後のデータ全体」と定義した。
情報,情報技術,一人当たりの世界の通信容量は34カ月ごとに倍増した。
情報,情報技術,ITは通信を含めた概念である情報通信技術 (ICT) の一部である。
情報,情報技術,2007年の時点で、世界中に保存されているデータのほぼ約94%がデジタルで保存されていた。
情報,情報技術,一人当たりの世界の記憶容量は倍増するのに約40カ月を要した（3年ごと）。
情報,情報技術,データウェアハウスは、これらの異種の情報源を統合するために、1980年代に発展した。
情報,個人情報,「委託先の監督」義務の不履行。
情報,個人情報,2015年9月9日に追加が発令、2017年5月30日に改正個人情報保護法で施行された。
情報,個人情報,この区別は、データ主体アクセス要求（DSARs）に対応する上で極めて重要である。
情報,個人情報,個人情報保護法には、社会経済情勢の変化等を勘案し、おおむね3年ごとに見直しを行う規定がある。
情報,個人情報,又は、日を削除し、生年月に置き換える。
情報,中央情報局,フランク・ウィズナー（Frank Gardiner Wisner） - 次官、計画本部長。
情報,中央情報局,※APLAAの下に中華人民共和国や台湾省に特化した「中国局」が存在すると指摘されている。
情報,中央情報局,正力松太郎 - ティム・ワイナーの著書でスパイと名指しされた。
情報,中央情報局,コファー・ブラック (Joseph Cofer Black) - アフリカ専門家。
情報,中央情報局,専門は防諜（カウンターインテリジェンス）。
情報,交通情報,このころには各局1日あたり、6回から16回の放送が可能になった。
情報,交通情報,首都高速道路では、専門の担当者によってアナウンスされることがある。
情報,交通情報,このフォーマットは他の在京局が追随した。
情報,交通情報,道路上・付帯施設等での具体的な情報の媒体には以下のようなものがある。
情報,交通情報,多くは交通規制に沿う。
情報,情報化社会,また、そのような社会に変化していくことを情報化（じょうほうか）という。
情報,情報化社会,多くの研究者によって描かれている情報社会のネガティブなビジョンには次のようなものがある。
情報,情報化社会,つまり、「情報化社会とは情報がゴミと化してしまう社会のことだ。
情報,情報化社会,このような情報社会論、情報化社会論の類に対しては、いくつもの批判が提示されている。
情報,情報化社会,情報化社会には様々な類義語がある。
情報,情報学,例示であって、網羅するものではない。
情報,情報学,長尾真ほか編『岩波講座マルチメディア情報学』岩波書店、1999-2001年。
情報,情報学,ウィキペディアの記事名や構成の都合により調整してある箇所もある）。
情報,情報学,4はメディア論やコミュニケーション論を含み、社会情報学等と呼ばれる諸分野である。
情報,情報学,ISBN 4-7571-0120-1。
情報,情報番組,その他、バラエティ番組と融合させた「情報バラエティ」というカテゴリもある。
情報,情報番組,そのため、番組の中では「ニュース」という呼称が使えなかった。
情報,情報番組,情報番組は以下のように幾つかにカテゴライズされている。
情報,情報工学,ここでは、いくつかの大学の学科紹介などから（研究などにおける専門的な解説ではない）抜粋する。
情報,情報工学,また似た言葉に情報学がある。
情報,情報工学,工学系では1996年に大阪工業大学が最初に設置している。
情報,情報工学,学部名としては、1986年に設置された九州工業大学の情報工学部が最初である。
情報,情報工学,ISBN 978-4816916618。
情報,情報 (教科),「情報」の教職課程は、他の教科と併設されることが少なく、他教科と並行して取得することは困難である。
情報,情報 (教科),ISBN 4-304-04075-8。
情報,情報 (教科),この教科は「理系」と「文系」に分類しないが、科目により後述のとおり内容に若干の傾向が見られる。
情報,情報 (教科),現職の教諭を対象に免許所有者を確保してきた経緯から、現職以外の新規取得者への門戸は狭い。
情報,情報 (教科),これは「情報」の専門分野よりも教職課程において共通の必修科目である「情報機器の操作」の範囲である。
スポーツ,スポーツ,フィールドや環境で分類する方法もある。
スポーツ,スポーツ,スポーツと賭博の間の関係は国によってさまざまである。
スポーツ,スポーツ,総合競技大会の中でも最も大規模かつ著名なものは4年に1度行われるオリンピックである。
スポーツ,スポーツ,スポーツには様々な分類方法がある。
スポーツ,スポーツ,2009年には、世界の商業賭博総額3350億ドルの内、競馬が7%、スポーツくじが5%を占めていた。
スポーツ,日刊スポーツ,家庭版では番組ガイドなどに置き換え。
スポーツ,日刊スポーツ,1948年（昭和23年）5月27日掲載の「米国の裸体ショー」で全国初のプレスコード違反に問われる。
スポーツ,日刊スポーツ,競馬新聞より安価な予想紙として評価されている。
スポーツ,日刊スポーツ,ラジオ日本『日曜競馬実況中継』（2部前半・「万券請負人」コーナー）を歴任。
スポーツ,日刊スポーツ,静岡県東部・中部（大井川以東）は7版が販売されている。
スポーツ,デイリースポーツ,2010年3月1日に経営基盤の強化を目的として、デイリースポーツ社が神戸新聞社へ吸収合併された。
スポーツ,デイリースポーツ,デイリースポーツ（Daily Sports）は、日本のスポーツ新聞である。
スポーツ,デイリースポーツ,デイリーの「ー」が右上に伸びる形で、その下にスポーツという文字を入れていた。
スポーツ,デイリースポーツ,紙面でチームを盛り上げていくために導入した。
スポーツ,デイリースポーツ,取材記者にプロレス担当を設け、プロ野球のシーズンオフの時は3面も使うほどの熱の入れようであった。
スポーツ,スポーツ報知,2016年12月24日よりラジオ日本（土曜1部）メイン解説に着任。
スポーツ,スポーツ報知,1980年代まで、福井放送・福井テレビの番組表（ハーフ）が掲載されたことがあった。
スポーツ,スポーツ報知,※読売新聞（中部支社版）と同じ局名カットのデザインを採用。
スポーツ,スポーツ報知,この場合、東京版などで1面に出ている記事は中面にカラーでそのまま掲載する。
スポーツ,スポーツ報知,(120円で売られている中日スポーツへの対抗でもある)。
スポーツ,東京スポーツ,三嶋の部下として美浦厩舎取材を担当、東スポ競馬LIVEに出演。
スポーツ,東京スポーツ,レース部で中央競馬を担当後、1982年にケイシュウNEWSへ移籍。
スポーツ,東京スポーツ,2024年日刊スポーツ大阪本社に移籍。
スポーツ,東京スポーツ,紙面コラム『ニッコニコ馬券』の他、週刊実話で『推し活馬券』も担当。
スポーツ,東京スポーツ,吉田たかよし - NHKを早期退職して医師に転向。
スポーツ,スポーツ新聞,バックナンバーが注文できる版も、取り扱いが限定されているケースもある。
スポーツ,スポーツ新聞,スポーツニッポン（毎日新聞社系発行。
スポーツ,スポーツ新聞,通称“ニッカン”）：札幌、東京、名古屋、大阪、福岡、那覇。
スポーツ,スポーツ新聞,ただし、風俗店関連の広告は掲載されている。
スポーツ,スポーツ新聞,『レキップ』などが有名。
スポーツ,スポーツニッポン,2月1日 - 本紙が大阪で創刊（タブロイド版）。
スポーツ,スポーツニッポン,本田には興味がない」と明確に否定された。
スポーツ,スポーツニッポン,北海道日本ハムファイターズ監督に就任するまで、野球面に週1回コラム『熱中先生』を連載していた。
スポーツ,スポーツニッポン,Jリーグのスコア表記における韓国・朝鮮系選手の氏名表記が来日選手と在日選手とで異なっている。
スポーツ,スポーツニッポン,第75期以降は特別協力という形に。
スポーツ,サンケイスポーツ,日本サッカー界の字引的存在で、日本サッカー殿堂入りも果たす。
スポーツ,サンケイスポーツ,金曜日限定でつば九郎記事も配信している。
スポーツ,サンケイスポーツ,1982年（昭和57年） - 北海道新聞社、サンスポと提携し「道新スポーツ」創刊。
スポーツ,サンケイスポーツ,正木茂 - 大阪本社トラックマン。
スポーツ,サンケイスポーツ,購読料はAndroid端末が1，500円、iOS端末が1，600円。
スポーツ,スポーツ・ユーティリティ・ビークル,これは現代のSUVに極めて近いシルエットをしており、これをSUVの原型だと主張する説もある。
スポーツ,スポーツ・ユーティリティ・ビークル,Category:スポーツ・ユーティリティ・ビークルを参照。
スポーツ,スポーツ・ユーティリティ・ビークル,しかし「SUV」という単語の正確な起源については謎が多い。
スポーツ,スポーツ・ユーティリティ・ビークル,これは日本製乗用車の輸入台数を制限する代わりの、一種の優遇措置でもあった。
スポーツ,スポーツ・ユーティリティ・ビークル,さらには都市部でSUVの走行規制を呼びかける市民や政党も現れた。
スポーツ,スポーツカー,スポーツドライビングを楽しむことを重視した乗用車。
スポーツ,スポーツカー,スポーツカーには明確な基準は無い。
スポーツ,スポーツカー,フェラーリ・BBなど多くのフェラーリ乗用車がGTを名乗るのはこのためである。
スポーツ,スポーツカー,1913年のイスパノ・スイザ3.5 L車は、世界で初めてスポーツカーと呼ばれた車とされる。
スポーツ,スポーツカー,スポーツカーは自動車のカテゴリ中、最も古いものの一つである。
